ORDER_ID,DATE,CUSTOMER_ID,PRODUCT_ID
1,20190515,2699,GGOEGAAJ032317
2,20190726,4276,GGOEAHPB076113
3,20181021,3471,9180791
4,20190210,3323,9180850
5,20190714,2036,GGOEAAXN066328
6,20190617,233,9182751
7,20190721,4301,9184709
8,20180705,3234,GGOEGAAX0319
9,20180825,5440,9184676
10,20191225,2134,GGOEADHH055999
11,20190709,4119,9182611
12,20190925,2542,GGOEAAAJ032915
13,20180508,161,9182587
14,20190420,2556,GGOEGAAX0315
15,20190730,3629,9182719
16,20190908,4386,9182569
17,20191029,33,9182798
18,20180220,2442,9181572
19,20190429,1727,9180864
20,20191020,2888,GGOEAAEJ035713
21,20180707,3484,GGOEAAFB035913
22,20190513,4988,GGOEGAAX0280
23,20190807,2919,9182688
24,20190827,3377,9183189
25,20180815,4279,9184682
26,20190503,4784,10 15103
27,20180608,3734,9182587
28,20181130,308,9184681
29,20180214,499,9180788
30,20190519,2519,9184720
31,20180514,3785,GGOEGAAR010717
32,20180209,1179,9182599
33,20180912,1697,9180869
34,20180920,477,9184707
35,20180416,1147,GGOEGAAJ032314
36,20191128,506,GGOEAAWH061549
37,20190522,2765,GGOEAAQB036116
38,20181023,956,9183003
39,20190230,4073,9181571
40,20180230,361,10 75145
41,20180214,3621,10 75152
42,20191209,3771,GGOEAKDH019899
43,20190520,5065,9182382
44,20191022,614,9183237
45,20190610,2304,9182526
46,20190314,409,9182736
47,20180712,1172,GGOEAAYJ068824
48,20191208,3542,GGOEGAAJ032716
49,20180629,5106,GGOEAAAB034915
50,20191016,1952,9181139
51,20190328,3817,GGOEAFKQ020599
52,20181109,2356,GGOEGAAJ080613
53,20190806,414,9182806
54,20190919,2773,GGOEGAAX0334
55,20190302,4646,9182980
56,20180811,1012,10 14160
57,20191116,2706,GGOEAAAJ031913
58,20191004,1774,GGOEGAAJ080615
59,20180317,1746,9182754
60,20190526,4856,GGOEGAAL010615
61,20190709,1439,GGOEGAAH075916
62,20181002,2250,GGOEAAAJ080814
63,20181011,865,9183190
64,20191229,4883,GGOEGAAJ080613
65,20191010,419,GGOEGAAJ080616
66,20190421,247,10 14133
67,20190925,443,GGOEGAAJ057017
68,20181228,1638,GGOEACCQ017299
69,20190418,1539,9182873
70,20180222,5330,GGOEADHH055999
71,20190620,3381,GGOEGAAX0305
72,20181212,1440,GGOEGAAX0311
73,20180907,1058,9181572
74,20190223,2622,GGOEGAAX0315
75,20190323,1575,9182961
76,20180413,939,9182647
77,20190704,2464,GGOEGAAJ032614
78,20190529,1051,9181574
79,20191009,709,9180840
80,20191111,4609,9182736
81,20190914,2170,GGOEAOCB077499
82,20191216,2941,GGOEAAWC061650
83,20181030,1301,10 52225
84,20190527,1089,9180760
85,20180229,3944,GGOEAAEH035217
86,20191029,4399,GGOEAAAH083316
87,20180702,779,GGOEAAAH083317
88,20180804,333,9180833
89,20190903,4688,GGOEAAWC061653
90,20191026,872,9183235
91,20190530,818,9183015
92,20190624,115,9182561
93,20191120,4718,GGOEAAWT061753
94,20180911,847,9180791
95,20190916,85,9184624
96,20180510,2985,GGOEGAAQ010414
97,20190925,4285,GGOEAAWC061648
98,20180329,2954,9182838
99,20181025,3038,9181573
100,20190604,4091,9183202
101,20191216,4001,GGOEAAWC061654
102,20181105,2251,GGOEGAAJ032715
103,20180914,366,9182174
104,20190810,2690,GGOEAAEB031614
105,20180705,919,GGOEAAQB036114
106,20180523,50,GGOEGAAB010513
107,20191017,3558,10 14155
108,20190918,4203,GGOEGAAB058914
109,20180904,683,9183226
110,20190309,3889,GGOEAAWH061550
111,20190714,4587,9180837
112,20180611,2833,9182779
113,20191220,2002,GGOEGAAB033814
114,20190502,205,GGOEAAAJ080813
115,20190616,513,9183193
116,20191212,1686,10 84023
117,20191126,3883,9182740
118,20190217,3713,10 52230
119,20180312,395,9182754
120,20190615,3090,9181150
121,20190824,83,9180782
122,20191105,4952,GGOEGAAJ032715
123,20190624,4190,9183003
124,20190711,1484,GGOEAAAJ034514
125,20180929,3011,GGOEGAAQ057213
126,20190309,4651,9180749
127,20190824,4766,9182893
128,20191215,1660,9182863
129,20180727,4215,GGOEGAAX0213
130,20190724,2789,9183234
131,20180618,3,GGOEAAEB030216
132,20190617,4640,GGOEADHJ015599
133,20180629,3788,9182996
134,20181021,2675,GGOEAHPB076113
135,20180220,3310,10 52250
136,20190726,3076,GGOEGAAX0307
137,20190924,2150,GGOEGAAJ080717
138,20190628,4401,
139,20190515,4043,9183241
140,20191110,2170,GGOEAOCB077499
141,20191127,1935,9180839
142,20190612,1595,GGOEAAAL081117
143,20190218,5374,9180803
144,20190518,1542,9182903
145,20191216,3522,9180856
146,20191228,2220,9180791
147,20190625,1017,10 13097
148,20181221,428,9182911
149,20180204,981,9182716
150,20190223,2716,GGOEGAAQ033918
151,20191007,4715,GGOEGAAJ032616
152,20181016,2607,GGOEAOBH078799
153,20190329,2939,GGOEGAAX0284
154,20181029,4498,10 14217
155,20190516,2061,9180905
156,20180625,4268,GGOEGAAC075714
157,20191225,492,9182996
158,20190202,4825,GGOEGAAJ080614
159,20190517,1373,GGOEGAAX0314
160,20180518,3988,9180786
161,20190722,2222,9180756
162,20190808,4638,9180866
163,20190327,1314,9182773
164,20180413,4406,9182979
165,20190425,1128,GGOEGAAJ059114
166,20190622,884,9182456
167,20190729,101,9180872
168,20180503,3800,9182707
169,20190218,1694,9183002
170,20181218,3188,9182723
171,20180527,3237,10 55418
172,20180414,4477,GGOEGAAB010514
173,20190410,1960,10 52230
174,20191122,1440,GGOEAAQB036113
175,20181110,4458,GGOEGAAJ059116
176,20190707,710,GGOEAAEH035216
177,20190215,1471,GGOEGAAJ059116
178,20190212,3326,GGOEGAAQ033916
179,20181211,3285,GGOEGAAX0319
180,20190207,3147,GGOEAAAJ080816
181,20190623,3689,9183188
182,20190921,131,GGOEGAAX0164
183,20190912,3857,GGOEAAFB035915
184,20190223,5107,GGOEGAAC075815
185,20190822,4569,GGOEGAAX0329
186,20191229,4401,9182998
187,20190702,1107,9182509
188,20191108,5004,GGOEADHH082399
189,20180930,4130,GGOEAKDH019899
190,20190310,4141,9183198
191,20190703,5411,9183187
192,20190621,3979,GGOEAHPJ074410
193,20191117,2711,9182674
194,20190920,1725,9182713
195,20190603,5319,GGOEAAAJ031913
196,20190529,2884,9182569
197,20191106,5060,GGOEAAAJ032414
198,20180725,1280,GGOEGAAC032117
199,20181028,4122,9182980
200,20191206,2328,9181149
201,20181209,2170,GGOEGAAC075814
202,20190321,805,10 14160
203,20191125,5286,9183112
204,20190520,5355,9183241
205,20191103,401,9182494
206,20190615,2935,GGOEGAAH034015
207,20181104,3349,9182635
208,20180622,1906,9182762
209,20191208,5011,GGOEGAAX0228
210,20190806,5059,9182765
211,20181108,5456,GGOEAAAB081016
212,20191213,2875,9182790
213,20190630,3078,9181151
214,20190204,1813,9182717
215,20190213,902,9182833
216,20190230,1899,GGOEGAAC032113
217,20190402,3070,9182540
218,20181224,1601,GGOEGAAB033813
219,20190226,4860,9182977
220,20190708,953,9183124
221,20180415,4070,GGOEAAXN066329
222,20190911,90,9183187
223,20190714,3579,GGOEAXXX0812
224,20190825,2445,9180769
225,20180918,3773,9180771
226,20190318,2404,GGOEGAAL010617
227,20181227,947,9182779
228,20190328,2895,9182724
229,20190203,2891,GGOEGAAX0311
230,20190504,1488,10 52225
